('OFF', 52.926, 52.394)
('ON', 52.82, 52.197)
('ON', 52.783, 51.94)
('ON', 52.943, 51.848)
('ON', 52.92, 51.67)
('ON', 53.126, 51.416)
('ON', 53.072, 51.367)
('ON', 53.098, 51.271)
('ON', 53.216, 51.236)
('ON', 53.599, 51.267)
('ON', 53.739, 51.132)
('ON', 53.739, 51.053)
('ON', 54.123, 51.252)
('ON', 54.308, 51.156)
('ON', 54.326, 51.11)
('ON', 54.188, 50.956)
('ON', 54.072, 50.897)
('ON', 54.368, 50.848)
('ON', 54.558, 50.761)
('ON', 54.728, 50.743)
('ON', 54.947, 50.65)
('ON', 58.457, 50.634)
('ON', 59.684, 50.655)
('ON', 59.658, 50.722)
('ON', 59.718, 50.833)
('ON', 60.011, 50.822)
('ON', 59.91, 51.366)
('ON', 59.934, 51.927)
('ON', 60.018, 52.049)
('ON', 59.934, 52.451)
('ON', 59.981, 52.752)
('ON', 59.904, 52.815)
('ON', 59.849, 53.042)
('ON', 59.654, 53.302)
('ON', 59.504, 53.659)
('ON', 59.343, 53.887)
('ON', 59.349, 53.976)
('ON', 59.201, 54.0)
('ON', 59.182, 54.058)
('ON', 59.011, 54.064)
('ON', 58.759, 54.351)
('ON', 58.37, 54.37)
('ON', 57.794, 54.582)
('ON', 57.224, 54.601)
('ON', 57.15, 54.539)
('ON', 56.975, 54.55)
('ON', 56.655, 54.766)
('ON', 56.531, 54.968)
('ON', 56.391, 55.057)
('ON', 56.314, 55.037)
('ON', 56.243, 54.936)
('ON', 56.051, 54.958)
('ON', 55.956, 55.025)
('ON', 55.732, 55.383)
('ON', 55.658, 55.592)
('ON', 55.357, 55.654)
('ON', 55.362, 55.459)
('ON', 55.292, 55.271)
('ON', 55.051, 55.143)
('ON', 54.929, 55.019)
('ON', 54.618, 54.946)
('ON', 54.361, 54.95)
('ON', 54.285, 55.03)
('ON', 54.11, 55.059)
('ON', 54.023, 55.007)
('ON', 53.957, 54.846)
('ON', 53.424, 54.814)
('ON', 53.276, 54.935)
('ON', 53.011, 54.904)
('ON', 52.824, 55.093)
('ON', 52.76, 55.465)
('ON', 52.515, 55.847)
('ON', 52.438, 55.821)
('ON', 52.373, 55.574)
('ON', 52.609, 54.799)
('ON', 52.588, 54.622)
('ON', 52.484, 54.444)
('ON', 52.251, 54.294)
('ON', 52.107, 54.121)
('ON', 51.999, 54.109)
('ON', 51.98, 54.056)
('ON', 51.737, 53.907)
('ON', 51.744, 53.819)
('ON', 51.632, 53.706)
('ON', 51.681, 53.436)
('ON', 51.406, 52.939)
('ON', 51.304, 52.652)
('ON', 51.048, 52.562)
('ON', 51.031, 52.511)
('ON', 50.705, 52.464)
('ON', 50.654, 52.41)
('ON', 50.778, 52.261)
('ON', 50.653, 51.945)
('ON', 50.421, 51.79)
('ON', 50.31, 51.772)
('ON', 50.142, 51.67)
('ON', 50.251, 51.382)
('ON', 50.276, 51.106)
('ON', 50.347, 51.062)
('ON', 50.502, 51.059)
('ON', 50.752, 51.523)
('ON', 50.881, 51.615)
('ON', 51.482, 51.665)
('ON', 51.675, 51.848)
('ON', 51.692, 51.99)
('ON', 51.919, 52.066)
('ON', 52.146, 52.06)
('ON', 52.186, 52.197)
('ON', 52.324, 52.315)
('ON', 52.757, 52.49)
('ON', 52.926, 52.394)
('OFF', 52.832, 52.219)
('OFF', 52.982, 52.445)
('ON', 52.994, 52.311)
('ON', 52.896, 52.169)
('ON', 52.87, 51.978)
('ON', 53.022, 51.854)
('ON', 53.006, 51.688)
('ON', 53.193, 51.438)
('ON', 53.177, 51.339)
('ON', 53.623, 51.343)
('ON', 53.785, 51.163)
('ON', 54.099, 51.328)
('ON', 54.202, 51.318)
('ON', 54.393, 51.162)
('ON', 54.386, 51.055)
('ON', 54.28, 50.936)
('ON', 54.962, 50.73)
('ON', 58.395, 50.714)
('ON', 59.591, 50.738)
('ON', 59.668, 50.891)
('ON', 59.926, 50.906)
('ON', 59.83, 51.357)
('ON', 59.854, 51.932)
('ON', 59.931, 52.066)
('ON', 59.854, 52.45)
('ON', 59.894, 52.714)
('ON', 59.824, 52.791)
('ON', 59.773, 53.006)
('ON', 59.583, 53.262)
('ON', 59.262, 53.907)
('ON', 59.159, 53.932)
('ON', 59.127, 53.979)
('ON', 58.987, 53.988)
('ON', 58.72, 54.271)
('ON', 58.354, 54.29)
('ON', 57.778, 54.498)
('ON', 57.252, 54.517)
('ON', 57.17, 54.459)
('ON', 56.963, 54.47)
('ON', 56.599, 54.705)
('ON', 56.471, 54.907)
('ON', 56.386, 54.964)
('ON', 56.262, 54.858)
('ON', 56.027, 54.882)
('ON', 55.885, 54.979)
('ON', 55.594, 55.52)
('ON', 55.436, 55.554)
('ON', 55.438, 55.451)
('ON', 55.347, 55.221)
('ON', 55.099, 55.075)
('ON', 54.972, 54.948)
('ON', 54.61, 54.866)
('ON', 54.355, 54.87)
('ON', 54.238, 54.956)
('ON', 54.126, 54.975)
('ON', 53.981, 54.764)
('ON', 53.415, 54.736)
('ON', 53.248, 54.849)
('ON', 52.957, 54.847)
